,Team,Games,Home Games,Away Games,Goals Per Game,Goals Against Per Game,Goal Difference Per Game,Expected Goals Per Game,Expected Goals Against Per Game,Expected Goal Difference Per Game,Non-Scoring Expected Goals Per Game,Non-Scoring Expected Goals Against Per Game,Non-Scoring Expected Goal Difference Per Game,Adjusted Goals Per Game,Adjusted Goals Against Per Game,Adjusted Goal Difference Per Game,Home Goals Per Game,Home Goals Against Per Game,Home Goal Difference Per Game,Home Expected Goals Per Game,Home Expected Goals Against Per Game,Home Expected Goal Difference Per Game,Home Non-Scoring Expected Goals Per Game,Home Non-Scoring Expected Goals Against Per Game,Home Non-Scoring Expected Goal Difference Per Game,Home Adjusted Goals Per Game,Home Adjusted Goals Against Per Game,Home Adjusted Goal Difference Per Game,Away Goals Per Game,Away Goals Against Per Game,Away Goal Difference Per Game,Away Expected Goals Per Game,Away Expected Goals Against Per Game,Away Expected Goal Difference Per Game,Away Non-Scoring Expected Goals Per Game,Away Non-Scoring Expected Goals Against Per Game,Away Non-Scoring Expected Goal Difference Per Game,Away Adjusted Goals Per Game,Away Adjusted Goals Against Per Game,Away Adjusted Goal Difference Per Game,Season,League
0,AS Monaco,38,19,19,2.8157894736842106,0.8157894736842105,2.0,1.8521052631578947,0.9368421052631577,0.9152631578947369,1.41,0.9773684210526316,0.43263157894736837,2.7305263157894744,0.8236842105263161,1.9068421052631581,3.3157894736842106,0.6842105263157895,2.6315789473684212,2.056842105263158,0.8815789473684209,1.175263157894737,1.5236842105263158,0.8810526315789473,0.6426315789473684,3.168947368421053,0.6963157894736844,2.4726315789473685,2.3157894736842106,0.9473684210526315,1.368421052631579,1.6473684210526316,0.9921052631578948,0.6552631578947368,1.296315789473684,1.0736842105263158,0.22263157894736826,2.292105263157895,0.9510526315789477,1.3410526315789473,2016-17,French Ligue 1
1,AS Nancy Lorraine,38,19,19,0.7631578947368421,1.368421052631579,-0.6052631578947368,0.7863157894736843,1.4171052631578946,-0.6307894736842103,0.8921052631578947,1.296315789473684,-0.40421052631578946,0.755263157894737,1.3157894736842106,-0.5605263157894738,1.105263157894737,1.2105263157894737,-0.10526315789473684,1.0284210526315791,1.186315789473684,-0.1578947368421049,1.0947368421052632,1.0489473684210529,0.045789473684210394,1.0926315789473684,1.186842105263158,-0.09421052631578943,0.42105263157894735,1.5263157894736843,-1.105263157894737,0.5442105263157896,1.6478947368421053,-1.1036842105263158,0.6894736842105263,1.5436842105263155,-0.8542105263157893,0.41789473684210526,1.4447368421052633,-1.0268421052631582,2016-17,French Ligue 1
2,Angers,38,19,19,1.0526315789473684,1.2894736842105263,-0.23684210526315788,1.2447368421052631,0.9950000000000001,0.2497368421052632,1.2276315789473686,0.9657894736842106,0.261842105263158,1.0626315789473686,1.3060526315789476,-0.24342105263157904,1.2105263157894737,0.8947368421052632,0.3157894736842105,1.4847368421052631,0.7978947368421053,0.6868421052631579,1.3515789473684212,0.8673684210526315,0.4842105263157898,1.2131578947368422,0.9210526315789476,0.2921052631578946,0.8947368421052632,1.6842105263157894,-0.7894736842105263,1.0047368421052632,1.1921052631578946,-0.18736842105263152,1.1036842105263158,1.0642105263157895,0.039473684210526126,0.9121052631578949,1.6910526315789476,-0.7789473684210527,2016-17,French Ligue 1
3,Bastia,38,19,19,0.7631578947368421,1.4473684210526316,-0.6842105263157895,0.8776315789473687,1.5013157894736842,-0.6236842105263155,0.7060526315789474,1.3460526315789472,-0.6399999999999998,0.776842105263158,1.4265789473684212,-0.6497368421052632,0.8947368421052632,0.7894736842105263,0.10526315789473684,1.0263157894736843,1.081052631578947,-0.05473684210526274,0.7952631578947369,1.1163157894736842,-0.32105263157894715,0.9047368421052634,0.8289473684210528,0.07578947368421059,0.631578947368421,2.1052631578947367,-1.4736842105263157,0.7289473684210527,1.921578947368421,-1.1926315789473683,0.6168421052631579,1.5757894736842102,-0.9589473684210524,0.6489473684210526,2.0242105263157897,-1.375263157894737,2016-17,French Ligue 1
4,Bordeaux,38,19,19,1.394736842105263,1.131578947368421,0.2631578947368421,1.3007894736842107,1.1626315789473687,0.13815789473684212,1.061842105263158,1.2292105263157895,-0.16736842105263156,1.4026315789473687,1.1544736842105265,0.2481578947368421,1.4210526315789473,1.0,0.42105263157894735,1.4189473684210527,1.1763157894736842,0.2426315789473686,1.1189473684210527,1.1636842105263159,-0.044736842105263235,1.4547368421052633,1.05,0.40473684210526323,1.368421052631579,1.263157894736842,0.10526315789473684,1.1826315789473685,1.148947368421053,0.03368421052631563,1.0047368421052632,1.294736842105263,-0.28999999999999987,1.350526315789474,1.258947368421053,0.09157894736842097,2016-17,French Ligue 1
5,Caen,38,19,19,0.9473684210526315,1.7105263157894737,-0.7631578947368421,1.2647368421052632,1.3934210526315787,-0.12868421052631543,1.2071052631578947,1.358421052631579,-0.1513157894736844,0.9673684210526318,1.703157894736842,-0.7357894736842105,1.105263157894737,1.9473684210526316,-0.8421052631578947,1.3947368421052633,1.3542105263157893,0.040526315789474035,1.2905263157894735,1.2447368421052634,0.045789473684210207,1.1057894736842107,1.9426315789473683,-0.8368421052631576,0.7894736842105263,1.4736842105263157,-0.6842105263157895,1.1347368421052633,1.4326315789473683,-0.2978947368421049,1.1236842105263158,1.4721052631578948,-0.348421052631579,0.8289473684210528,1.4636842105263164,-0.6347368421052636,2016-17,French Ligue 1
6,Dijon FCO,38,19,19,1.2105263157894737,1.5263157894736843,-0.3157894736842105,0.9813157894736841,1.666842105263158,-0.6855263157894737,1.118157894736842,1.3328947368421054,-0.21473684210526334,1.2397368421052632,1.5715789473684214,-0.33184210526315816,1.4210526315789473,1.105263157894737,0.3157894736842105,1.1705263157894739,1.4257894736842105,-0.25526315789473675,1.2326315789473683,1.205263157894737,0.02736842105263137,1.4294736842105265,1.1421052631578952,0.28736842105263144,1.0,1.9473684210526316,-0.9473684210526315,0.7921052631578946,1.9078947368421053,-1.1157894736842107,1.0036842105263155,1.4605263157894737,-0.45684210526315805,1.05,2.001052631578948,-0.9510526315789477,2016-17,French Ligue 1
7,Guingamp,38,19,19,1.2105263157894737,1.394736842105263,-0.18421052631578946,1.2528947368421053,1.3786842105263157,-0.12578947368421056,1.284736842105263,1.2386842105263158,0.04605263157894718,1.2447368421052634,1.3865789473684211,-0.14184210526315796,1.4736842105263157,0.6842105263157895,0.7894736842105263,1.5052631578947369,0.9510526315789471,0.5542105263157897,1.5031578947368418,1.0363157894736843,0.46684210526315756,1.5147368421052632,0.6752631578947369,0.8394736842105264,0.9473684210526315,2.1052631578947367,-1.1578947368421053,1.0005263157894735,1.8063157894736843,-0.8057894736842108,1.066315789473684,1.4410526315789474,-0.3747368421052632,0.9747368421052633,2.0978947368421057,-1.1231578947368424,2016-17,French Ligue 1
8,Lille,38,19,19,1.0526315789473684,1.236842105263158,-0.18421052631578946,1.1597368421052632,1.2950000000000002,-0.13526315789473695,1.0078947368421052,1.0923684210526314,-0.08447368421052615,1.0955263157894737,1.2707894736842107,-0.17526315789473704,1.263157894736842,1.263157894736842,0.0,1.37,1.11,0.26000000000000006,1.1273684210526316,1.0178947368421054,0.10947368421052622,1.3263157894736841,1.3257894736842109,0.0005263157894733925,0.8421052631578947,1.2105263157894737,-0.3684210526315789,0.9494736842105262,1.4800000000000002,-0.530526315789474,0.8884210526315789,1.1668421052631575,-0.2784210526315785,0.8647368421052634,1.2157894736842108,-0.35105263157894745,2016-17,French Ligue 1
9,Lorient,38,19,19,1.1578947368421053,1.8421052631578947,-0.6842105263157895,1.1310526315789475,1.2828947368421055,-0.15184210526315797,1.161315789473684,1.1689473684210525,-0.007631578947368305,1.174736842105263,1.874473684210526,-0.6997368421052629,1.3157894736842106,1.5263157894736843,-0.21052631578947367,1.3100000000000003,1.1615789473684213,0.14842105263157895,1.2626315789473685,1.004736842105263,0.25789473684210557,1.3178947368421055,1.5321052631578949,-0.2142105263157895,1.0,2.1578947368421053,-1.1578947368421053,0.9521052631578947,1.4042105263157896,-0.4521052631578949,1.0599999999999998,1.333157894736842,-0.27315789473684216,1.0315789473684212,2.2168421052631575,-1.1852631578947364,2016-17,French Ligue 1
10,Lyon,38,19,19,2.0526315789473686,1.263157894736842,0.7894736842105263,1.8271052631578946,1.0971052631578946,0.7299999999999998,1.5926315789473686,1.016315789473684,0.5763157894736844,1.9878947368421052,1.2768421052631582,0.7110526315789469,2.4210526315789473,1.368421052631579,1.0526315789473684,1.9673684210526314,1.0521052631578949,0.9152631578947364,1.6636842105263159,0.803157894736842,0.8605263157894739,2.3547368421052624,1.37,0.9847368421052625,1.6842105263157894,1.1578947368421053,0.5263157894736842,1.6868421052631577,1.1421052631578947,0.5447368421052631,1.5215789473684211,1.2294736842105263,0.292105263157895,1.6210526315789475,1.1836842105263161,0.4373684210526315,2016-17,French Ligue 1
11,Marseille,38,19,19,1.5,1.0789473684210527,0.42105263157894735,1.4094736842105264,1.24,0.16947368421052636,1.1452631578947368,1.205,-0.05973684210526333,1.5028947368421053,1.1150000000000002,0.38789473684210524,1.736842105263158,0.6842105263157895,1.0526315789473684,1.5200000000000002,0.9278947368421052,0.5921052631578949,1.4,1.0515789473684212,0.3484210526315788,1.7057894736842107,0.7157894736842106,0.9900000000000001,1.263157894736842,1.4736842105263157,-0.21052631578947367,1.2989473684210524,1.5521052631578947,-0.25315789473684225,0.8905263157894736,1.358421052631579,-0.4678947368421055,1.3,1.5142105263157897,-0.21421052631578968,2016-17,French Ligue 1
12,Metz,38,19,19,1.0263157894736843,1.894736842105263,-0.868421052631579,0.9492105263157895,1.6139473684210528,-0.6647368421052633,0.9313157894736842,1.5328947368421053,-0.601578947368421,1.0600000000000003,1.8423684210526314,-0.7823684210526313,1.4210526315789473,1.7894736842105263,-0.3684210526315789,1.0663157894736843,1.480526315789474,-0.41421052631578953,1.0310526315789474,1.191578947368421,-0.1605263157894737,1.4668421052631584,1.7484210526315789,-0.28157894736842054,0.631578947368421,2.0,-1.368421052631579,0.8321052631578947,1.7473684210526317,-0.9152631578947371,0.8315789473684213,1.8742105263157895,-1.0426315789473681,0.6531578947368422,1.9363157894736842,-1.283157894736842,2016-17,French Ligue 1
13,Montpellier,38,19,19,1.263157894736842,1.736842105263158,-0.47368421052631576,1.1978947368421056,1.3265789473684209,-0.1286842105263155,1.1949999999999998,0.9778947368421052,0.21710526315789455,1.2844736842105267,1.7281578947368421,-0.4436842105263155,1.4736842105263157,1.1578947368421053,0.3157894736842105,1.325263157894737,1.1094736842105262,0.21578947368421078,1.2789473684210524,0.8921052631578947,0.3868421052631576,1.4878947368421058,1.1821052631578948,0.305789473684211,1.0526315789473684,2.3157894736842106,-1.263157894736842,1.070526315789474,1.543684210526316,-0.47315789473684183,1.1110526315789473,1.0636842105263158,0.047368421052631504,1.0810526315789475,2.2742105263157897,-1.193157894736842,2016-17,French Ligue 1
14,Nantes,38,19,19,1.0526315789473684,1.4210526315789473,-0.3684210526315789,1.108421052631579,1.1486842105263158,-0.04026315789473678,1.1992105263157895,1.1723684210526315,0.026842105263157976,1.0915789473684212,1.4597368421052632,-0.36815789473684196,1.0,1.263157894736842,-0.2631578947368421,1.1652631578947368,0.9199999999999998,0.24526315789473704,1.2805263157894735,1.026315789473684,0.25421052631578955,1.0273684210526317,1.2957894736842108,-0.268421052631579,1.105263157894737,1.5789473684210527,-0.47368421052631576,1.0515789473684212,1.3773684210526316,-0.3257894736842106,1.1178947368421053,1.318421052631579,-0.2005263157894736,1.1557894736842107,1.6236842105263156,-0.4678947368421049,2016-17,French Ligue 1
